Time	Day	Month	Year	NumWeek	Load	Load1	Temp	Temp1	IPI	IPI_CVS
680	5	1	2009	0.0188679245283019	79906.2678571429	68245.9464285714	-2.38229166666667	0.66860119047619	87.8	86.6
681	12	1	2009	0.0377358490566038	72609.6607142857	79906.2678571429	3.50565476190476	-2.38229166666667	87.8	86.6
682	19	1	2009	0.0566037735849057	68402.6011904762	72609.6607142857	4.98065476190476	3.50565476190476	87.8	86.6
683	26	1	2009	0.0754716981132075	70140.5476190476	68402.6011904762	2.72053571428571	4.98065476190476	87.8	86.6
684	2	2	2009	0.0943396226415094	70318.9136904762	70140.5476190476	3.66741071428571	2.72053571428571	84.2	86.1
685	9	2	2009	0.113207547169811	70319.2172619048	70318.9136904762	3.2827380952381	3.66741071428571	84.2	86.1
686	16	2	2009	0.132075471698113	67456.3630952381	70319.2172619048	4.66934523809524	3.2827380952381	84.2	86.1
687	23	2	2009	0.150943396226415	61902.3958333333	67456.3630952381	6.753125	4.66934523809524	84.2	86.1
688	2	3	2009	0.169811320754717	62511.8005952381	61902.3958333333	5.93467261904762	6.753125	91.2	84.6
689	9	3	2009	0.188679245283019	58420.3898809524	62511.8005952381	8.54449404761905	5.93467261904762	91.2	84.6
690	16	3	2009	0.207547169811321	54366.6220238095	58420.3898809524	8.50044642857143	8.54449404761905	91.2	84.6
691	23	3	2009	0.226415094339623	57115.9642857143	54366.6220238095	7.83511904761905	8.50044642857143	91.2	84.6
692	30	3	2009	0.245283018867925	53645.8869047619	57115.9642857143	10.1589285714286	7.83511904761905	91.2	84.6
693	6	4	2009	0.264150943396226	50329.3601190476	53645.8869047619	12.7483630952381	10.1589285714286	83	84.4
694	13	4	2009	0.283018867924528	47804.9672619048	50329.3601190476	12.1705357142857	12.7483630952381	83	84.4
695	20	4	2009	0.30188679245283	47312.0327380952	47804.9672619048	12.8886904761905	12.1705357142857	83	84.4
696	27	4	2009	0.320754716981132	47035.8333333333	47312.0327380952	12.0141369047619	12.8886904761905	83	84.4
697	4	5	2009	0.339622641509434	44811.6845238095	47035.8333333333	14.1556547619048	12.0141369047619	77.9	85.2
698	11	5	2009	0.358490566037736	45490.3005952381	44811.6845238095	15.0611607142857	14.1556547619048	77.9	85.2
699	18	5	2009	0.377358490566038	42435.4702380952	45490.3005952381	17.4532738095238	15.0611607142857	77.9	85.2
700	25	5	2009	0.39622641509434	44180.6041666667	42435.4702380952	17.4662202380952	17.4532738095238	77.9	85.2
701	1	6	2009	0.415094339622642	43184.7797619048	44180.6041666667	16.7994047619048	17.4662202380952	91.4	86.1
702	8	6	2009	0.433962264150943	44724.3154761905	43184.7797619048	17.3994047619048	16.7994047619048	91.4	86.1
703	15	6	2009	0.452830188679245	44666.8214285714	44724.3154761905	18.0135416666667	17.3994047619048	91.4	86.1
704	22	6	2009	0.471698113207547	44979.3035714286	44666.8214285714	19.4244047619048	18.0135416666667	91.4	86.1
705	29	6	2009	0.490566037735849	46955.4732142857	44979.3035714286	23.2465773809524	19.4244047619048	91.4	86.1
706	6	7	2009	0.509433962264151	45372.943452381	46955.4732142857	18.4953869047619	23.2465773809524	87.4	86.5
707	13	7	2009	0.528301886792453	43210.9285714286	45372.943452381	19.849255952381	18.4953869047619	87.4	86.5
708	20	7	2009	0.547169811320755	44851.3839285714	43210.9285714286	20.5470238095238	19.849255952381	87.4	86.5
709	27	7	2009	0.566037735849057	43137.4761904762	44851.3839285714	19.8977678571429	20.5470238095238	87.4	86.5
710	3	8	2009	0.584905660377358	40662.6428571429	43137.4761904762	20.8790178571429	19.8977678571429	64.7	88.2
711	10	8	2009	0.60377358490566	40260.1577380952	40662.6428571429	21.9159226190476	20.8790178571429	64.7	88.2
712	17	8	2009	0.622641509433962	42583.0327380952	40260.1577380952	22.518005952381	21.9159226190476	64.7	88.2
713	24	8	2009	0.641509433962264	44134.0446428571	42583.0327380952	19.6635416666667	22.518005952381	64.7	88.2
714	31	8	2009	0.660377358490566	45185.2291666667	44134.0446428571	17.871875	19.6635416666667	64.7	88.2
715	7	9	2009	0.679245283018868	45276.3928571429	45185.2291666667	18.4019345238095	17.871875	94.3	87.6
716	14	9	2009	0.69811320754717	45464.556547619	45276.3928571429	16.2263392857143	18.4019345238095	94.3	87.6
