Time	Day	Month	Year	NumWeek	Load	Load1	Temp	Temp1	IPI	IPI_CVS
1	1	1	1996	0.0188679245283019	51306.0267857143	61395.4791666667	5.86205357142857	-0.313095238095238	90.1	87.9
2	8	1	1996	0.0377358490566038	51071.6666666667	51306.0267857143	8.4889880952381	5.86205357142857	90.1	87.9
3	15	1	1996	0.0566037735849057	54406.9880952381	51071.6666666667	4.41919642857143	8.4889880952381	90.1	87.9
4	22	1	1996	0.0754716981132075	56737.6696428571	54406.9880952381	3.64940476190476	4.41919642857143	90.1	87.9
5	29	1	1996	0.0943396226415094	53877.1726190476	56737.6696428571	2.8297619047619	3.64940476190476	90.1	87.9
6	5	2	1996	0.113207547169811	57188.9970238095	53877.1726190476	2.40535714285714	2.8297619047619	88.4	88.1
7	12	2	1996	0.132075471698113	54949.4821428571	57188.9970238095	4.64330357142857	2.40535714285714	88.4	88.1
8	19	2	1996	0.150943396226415	57582.3035714286	54949.4821428571	1.90744047619048	4.64330357142857	88.4	88.1
9	26	2	1996	0.169811320754717	53453.2261904762	57582.3035714286	5.15952380952381	1.90744047619048	88.4	88.1
10	4	3	1996	0.188679245283019	52401.5476190476	53453.2261904762	4.94970238095238	5.15952380952381	93	88.6
11	11	3	1996	0.207547169811321	52336.4821428571	52401.5476190476	5.40684523809524	4.94970238095238	93	88.6
12	18	3	1996	0.226415094339623	47135.6398809524	52336.4821428571	10.1498511904762	5.40684523809524	93	88.6
13	25	3	1996	0.245283018867925	46483.244047619	47135.6398809524	7.32693452380952	10.1498511904762	93	88.6
14	1	4	1996	0.264150943396226	50268.2261904762	46483.244047619	6.12648809523809	7.32693452380952	87.2	87.7
15	8	4	1996	0.283018867924528	42785.5386904762	50268.2261904762	10.725744047619	6.12648809523809	87.2	87.7
16	15	4	1996	0.30188679245283	41374.8839285714	42785.5386904762	13.4282738095238	10.725744047619	87.2	87.7
17	22	4	1996	0.320754716981132	40246.7767857143	41374.8839285714	13.1784226190476	13.4282738095238	87.2	87.7
18	29	4	1996	0.339622641509434	39451.8898809524	40246.7767857143	10.9010416666667	13.1784226190476	87.2	87.7
19	6	5	1996	0.358490566037736	40862.1904761905	39451.8898809524	11.3151785714286	10.9010416666667	83.2	89.4
20	13	5	1996	0.377358490566038	40095.3482142857	40862.1904761905	12.3306547619048	11.3151785714286	83.2	89.4
21	20	5	1996	0.39622641509434	40077.3601190476	40095.3482142857	13.9877976190476	12.3306547619048	83.2	89.4
22	27	5	1996	0.415094339622642	37289.4642857143	40077.3601190476	15.9605654761905	13.9877976190476	83.2	89.4
23	3	6	1996	0.433962264150943	37943.5386904762	37289.4642857143	20.1833333333333	15.9605654761905	91.9	88
24	10	6	1996	0.452830188679245	38335.1636904762	37943.5386904762	19.9552083333333	20.1833333333333	91.9	88
25	17	6	1996	0.471698113207547	38324.5922619048	38335.1636904762	17.4799107142857	19.9552083333333	91.9	88
26	24	6	1996	0.490566037735849	38471.619047619	38324.5922619048	16.7590773809524	17.4799107142857	91.9	88
27	1	7	1996	0.509433962264151	38576.6785714286	38471.619047619	16.2462797619048	16.7590773809524	89.3	86.8
28	8	7	1996	0.528301886792453	38162.7142857143	38576.6785714286	17.8575892857143	16.2462797619048	89.3	86.8
29	15	7	1996	0.547169811320755	38792.1755952381	38162.7142857143	21.0306547619048	17.8575892857143	89.3	86.8
30	22	7	1996	0.566037735849057	37912.931547619	38792.1755952381	21.1284226190476	21.0306547619048	89.3	86.8
31	29	7	1996	0.584905660377358	35278.130952381	37912.931547619	20.1982142857143	21.1284226190476	89.3	86.8
32	5	8	1996	0.60377358490566	33005.6101190476	35278.130952381	19.5236607142857	20.1982142857143	64.6	88.8
33	12	8	1996	0.622641509433962	31651.75	33005.6101190476	19.4241071428571	19.5236607142857	64.6	88.8
34	19	8	1996	0.641509433962264	34569.943452381	31651.75	19.2325892857143	19.4241071428571	64.6	88.8
35	26	8	1996	0.660377358490566	37109.1994047619	34569.943452381	15.7168154761905	19.2325892857143	64.6	88.8
36	2	9	1996	0.679245283018868	38243.875	37109.1994047619	16.074255952381	15.7168154761905	92.9	88.8
37	9	9	1996	0.69811320754717	39040.7678571429	38243.875	13.9547619047619	16.074255952381	92.9	88.8
38	16	9	1996	0.716981132075472	39888.0119047619	39040.7678571429	13.2407738095238	13.9547619047619	92.9	88.8
39	23	9	1996	0.735849056603774	40303.4880952381	39888.0119047619	13.6980654761905	13.2407738095238	92.9	88.8
40	30	9	1996	0.754716981132076	41267.375	40303.4880952381	12.4471726190476	13.6980654761905	92.9	88.8
41	7	10	1996	0.773584905660377	43045.6220238095	41267.375	12.6111607142857	12.4471726190476	98.3	87.8
42	14	10	1996	0.792452830188679	43081.5833333333	43045.6220238095	12.069494047619	12.6111607142857	98.3	87.8
43	21	10	1996	0.811320754716981	42586.1547619048	43081.5833333333	13.1471726190476	12.069494047619	98.3	87.8
44	28	10	1996	0.830188679245283	43010.4970238095	42586.1547619048	11.6547619047619	13.1471726190476	98.3	87.8
45	4	11	1996	0.849056603773585	46338.0267857143	43010.4970238095	10.29375	11.6547619047619	91	88.8
46	11	11	1996	0.867924528301887	49380.5654761905	46338.0267857143	6.77886904761905	10.29375	91	88.8
47	18	11	1996	0.886792452830189	54534.0535714286	49380.5654761905	4.12366071428571	6.77886904761905	91	88.8
48	25	11	1996	0.905660377358491	54401.4107142857	54534.0535714286	5.88973214285714	4.12366071428571	91	88.8
49	2	12	1996	0.924528301886792	53403.505952381	54401.4107142857	6.61339285714286	5.88973214285714	89.3	89
